Male,People 's Republic of China,28,Employed full-time,,,Yes,,Programmer,Perfectly,Employed by a company that performs advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,Computer Science,3 to 5 years,"Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",40,30,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Vietnam,21,"Not employed, but looking for work",,,,,,,,Python,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Arxiv,Blogs,College/University,Newsletters,Online courses,Textbook,YouTube Videos",Very useful,Very useful,Not Useful,,,,,Somewhat useful,,,Very useful,,,,Very useful,,,Very useful,"FastML Blog,O'Reilly Data Newsletter,R Bloggers Blog Aggregator",< 1 year,Necessary,Necessary,Necessary,,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,,"Coursera,DataCamp,edX","Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Online Courses and Certifications,No,Bachelor's degree,Computer Science,Less than a year,"DBA/Database Engineer,Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",40,50,0,10,0,0,"Recommendation Engines,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Support Vector Machines (SVMs)",High school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,1-2,,,,,,,,,,,,,,,,
Male,Netherlands,37,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,Tableau,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites","Kaggle,Online courses",,,,,,,Very useful,,,,Somewhat useful,,,,,,,,"KDnuggets Blog,No Free Hunch Blog,O'Reilly Data Newsletter",,,,,,,,,,,,,,,,,,,,Doctoral degree,Mathematics or statistics,More than 10 years,"Engineer,Researcher",University courses,10,20,40,30,0,0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",High school,Mix of fields,"1,000 to 4,999 employees",Increased slightly,3-5 years,I was contacted directly by someone at the company (e.g. internal recruiter),Somewhat important,Analyze and understand data to influence product or business decisions,"Basic laptop (Macbook),Laptop or Workstation and private datacenters","Image data,Video data,Text data,Relational data",Most of the time,100GB,"Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,SVMs","NoSQL,Orange,Python,R,SQL",,,,,,,,,,,,,,,,,,,,,,,,,,,Often,,Rarely,,Most of the time,,Often,,,,,,,,,Often,,,,,,,,,,"A/B Testing,Association Rules,Cross-Validation,Data Visualization,Decision Trees,Ensemble Methods,Gradient Boosted Machines,PCA and Dimensionality Reduction,Prescriptive Modeling,Random Forests,Time Series Analysis",Often,Sometimes,,,,Most of the time,Most of the time,Most of the time,Most of the time,,,Most of the time,,,,,,,,,Most of the time,Often,Most of the time,,,,,,,Often,,,,30,15,0,35,20,0,Enough to refine and innovate on the algorithm,"Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Did not instrument data useful for scientific analysis and decision-making,Lack of data science talent in the organization,Lack of significant domain expert input,Maintaining responsible expectations about the potential impact of data science projects,Need to coordinate with IT,Unavailability of/difficult access to data",Sometimes,Sometimes,Sometimes,,,,,,Sometimes,,Sometimes,,,Sometimes,Sometimes,,,,,,Sometimes,,26-50% of projects,More internal than external,Standalone Team,,,"Document-oriented (e.g. MongoDB/Elasticsearch),Graph (e.g. GraphBase/Neo4j),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Company Developed Platform,Share Drive/SharePoint",,"Bitbucket,Git",,75000,EUR,Has increased between 6% and 19%,7,,,,,,,,,,,,,,,,,,
A different identity,Russia,37,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Doctoral degree,Biology,1 to 2 years,Engineer,Self-taught,40,20,20,0,20,0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Support Vector Machines (SVMs)","Some college/university study, no bachelor's degree",Government,"1,000 to 4,999 employees",Stayed the same,Less than one year,"A friend, family member, or former colleague told me",Not very important,Analyze and understand data to influence product or business decisions,GPU accelerated Workstation,Relational data,Never,1MB,"Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,SVMs","Jupyter notebooks,Python,TensorFlow",,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,,Often,,,,,,"Cross-Validation,Data Visualization,Ensemble Methods,kNN and Other Clustering,Neural Networks,PCA and Dimensionality Reduction,SVMs",,,,,,Most of the time,Most of the time,,Often,,,,,Often,,,,,,Often,Often,,,,,,,Often,,,,,,50,40,0,10,0,0,Enough to explain the algorithm to someone non-technical,"Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Lack of data science talent in the organization",Most of the time,Most of the time,,,,,,,Most of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Hong Kong,26,Employed full-time,,,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,Jupyter notebooks,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"College/University,Kaggle,Online courses,Stack Overflow Q&A",,,Somewhat useful,,,,Somewhat useful,,,,Very useful,,,Somewhat useful,,,,,"Becoming a Data Scientist Podcast,Data Machina Newsletter,KDnuggets Blog",< 1 year,Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,,"Coursera,DataCamp,edX,Udacity","Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Kaggle Competitions,No,Bachelor's degree,Management information systems,1 to 2 years,Business Analyst,"Online courses (coursera, udemy, edx, etc.)",15,75,10,0,0,0,,,A bachelor's degree,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meeting with recruiters who've contacted you directly,0,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important
Male,United States,31,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by a company that doesn't perform advanced analytics,Spark / MLlib,"Ensemble Methods (e.g. boosting, bagging)",Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Somewhat useful,Very useful,,Somewhat useful,,,,Not Useful,,,,,,,,,,,,,,,,,,,,Yes,Bachelor's degree,Computer Science,1 to 2 years,"Computer Scientist,Programmer,I haven't started working yet",Self-taught,25,15,25,25,10,0,"Computer Vision,Reinforcement learning,Supervised Machine Learning (Tabular Data)",Neural Networks - CNNs,A master's degree,Technology,"10,000 or more employees",Increased significantly,3-5 years,"A friend, family member, or former colleague told me",Not very important,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Basic laptop (Macbook),Relational data,Most of the time,100GB,"Decision Trees,Ensemble Methods,Regression/Logistic Regression","Jupyter notebooks,NoSQL,Python,Tableau",,,,,,,,,,,,,,,,,Often,,,,,,,,,,Most of the time,,,,Most of the time,,,,,,,,,,,,,,Often,,,,,,,Data Visualization,,,,,,,Often,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,15,20,20,0,Enough to explain the algorithm to someone non-technical,"Explaining data science to others,Scaling data science solution up to full database,The lack of a clear question to be answering or a clear direction to go in with the available data,Unavailability of/difficult access to data",,,,,,Rarely,,,,,,,,,,,,Often,,Sometimes,Sometimes,,26-50% of projects,More internal than external,Business Department,na,na,"Document-oriented (e.g. MongoDB/Elasticsearch),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",Company Developed Platform,,"Bitbucket,Git",Sometimes,,USD,I do not want to share information about my salary/compensation,8,,,,,,,,,,,,,,,,,,
Female,Belgium,28,Employed full-time,,,Yes,,Scientist/Researcher,Perfectly,Employed by college or university,,,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Arxiv,Blogs,Conferences,Kaggle,Newsletters,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Very useful,,,Somewhat useful,,Very useful,Somewhat useful,,,Very useful,,,Very useful,,,,Somewhat useful,"Data Machina Newsletter,KDnuggets Blog",,,,,,,,,,,,,,,,,,,Yes,Master's degree,Computer Science,6 to 10 years,Researcher,University courses,5,5,80,10,0,0,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",A master's degree,Academic,500 to 999 employees,Increased slightly,3-5 years,"A friend, family member, or former colleague told me",Very important,Research that advances the state of the art of machine learning,Workstation + Cloud service,"Text data,Relational data",,1GB,"Bayesian Techniques,Neural Networks,Regression/Logistic Regression,SVMs","Amazon Machine Learning,Amazon Web services,C/C++,Hadoop/Hive/Pig,Java,Jupyter notebooks,MATLAB/Octave,Microsoft Azure Machine Learning,Python,R,Spark / MLlib,SQL,TensorFlow,Unix shell / awk",Rarely,Often,,Rarely,,,,,Rarely,,,,,,Sometimes,,Most of the time,,,,Most of the time,Rarely,,,,,,,,,Most of the time,,Rarely,,,,,,,,Sometimes,Sometimes,,,,Most of the time,,Often,,,,"Cross-Validation,Data Visualization,Logistic Regression,Naive Bayes,Natural Language Processing,Neural Networks,SVMs,Text Analytics",,,,,,Most of the time,Sometimes,,,,,,,,,Most of the time,,Most of the time,Often,Most of the time,,,,,,,,Most of the time,Often,,,,,70,10,0,5,15,0,Enough to explain the algorithm to someone non-technical,"Did not instrument data useful for scientific analysis and decision-making,Dirty data",,,Sometimes,,Often,,,,,,,,,,,,,,,,,,100% of projects,Entirely internal,Standalone Team,List of KDNuggets repositories,,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),Email,,Generic cloud file sharing software (Dropbox/Box/etc.),Sometimes,,,Has stayed about the same (has not increased or decreased more than 5%),8,,,,,,,,,,,,,,,,,,
Male,United States,20,"Not employed, and not looking for work",Yes,"Yes, but data science is a small part of what I'm focused on learning",,,,,,,,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,University/Non-profit research group websites","Arxiv,Blogs,College/University,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,Very useful,,,,,,,,,,,Very useful,Somewhat useful,,Somewhat useful,Somewhat useful,"FastML Blog,O'Reilly Data Newsletter",1-2 years,Necessary,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Necessary,,,,,"Gaming Laptop (Laptop + CUDA capable GPU),GPU accelerated Workstation,Workstation + Cloud service",2 - 10 hours,PhD,No,Some college/university study without earning a bachelor's degree,Computer Science,,"Engineer,Machine Learning Engineer",Self-taught,NA,NA,NA,NA,NA,NA,"Computer Vision,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,1-2,,,,,,,,,,,,,,,,
Male,Greece,41,"Independent contractor, freelancer, or self-employed",,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Weka,Genetic & Evolutionary Algorithms,Python,GitHub,"Kaggle,Online courses",,,,,,,Very useful,,,,Very useful,,,,,,,,"Data Machina Newsletter,Linear Digressions Podcast,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",,,,,,,,,,,,,,,,,,,Yes,Doctoral degree,"Information technology, networking, or system administration",6 to 10 years,"Business Analyst,Computer Scientist,Data Analyst,DBA/Database Engineer,Machine Learning Engineer,Programmer,Software Developer/Software Engineer",University courses,0,5,15,80,0,0,"Natural Language Processing,Reinforcement learning,Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Evolutionary Approaches,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs",High school,Technology,,,,,Important,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Laptop or Workstation and local IT supported servers,Laptop or Workstation and private datacenters",Relational data,Most of the time,100GB,"Decision Trees,Evolutionary Approaches,Neural Networks","C/C++,Java,Mathematica,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Python,RapidMiner (free version),SQL,Unix shell / awk",,,,Often,,,,,,,,,,,Often,,,,,Sometimes,,Sometimes,Most of the time,,,,,,,,Most of the time,,,,Most of the time,,,,,,,Most of the time,,,,,,Often,,,,"A/B Testing,Data Visualization,Decision Trees,Natural Language Processing,Neural Networks,Simulation,Text Analytics",Rarely,,,,,,Often,Most of the time,,,,,,,,,,,Most of the time,Most of the time,,,,,,,Often,,Most of the time,,,,,40,30,20,5,5,0,"Enough to code it again from scratch, albeit it may run slowly","Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Dirty data,Explaining data science to others,Inability to integrate findings into organization's decision-making process,Team using multiple ad-hoc development environments such as Python/R/Java/etc.,The lack of a clear question to be answering or a clear direction to go in with the available data,Unavailability of/difficult access to data",Often,Most of the time,,,Often,Sometimes,,Most of the time,,,,,,,,,,,Most of the time,Sometimes,Most of the time,,26-50% of projects,Approximately half internal and half external,IT Department,,,"Column-oriented relational (e.g. KDB/MariaDB),Document-oriented (e.g. MongoDB/Elasticsearch),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Commercial Data Platform,Company Developed Platform,Email,Share Drive/SharePoint",,"Generic cloud file sharing software (Dropbox/Box/etc.),Generic non-cloud file sharing software (Email/Shared Server/etc.),Git",Most of the time,45000,EUR,Has decreased between 6% and 19%,7,,,,,,,,,,,,,,,,,,
Female,Finland,28,"Not employed, but looking for work",,,,,,,,SAP BusinessObjects Predictive Analytics,Text Mining,SQL,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"College/University,Friends network,Personal Projects,Textbook,Tutoring/mentoring,YouTube Videos",,,Somewhat useful,,,Very useful,,,,,,Somewhat useful,,,Somewhat useful,,Very useful,Not Useful,"Becoming a Data Scientist Podcast,Data Stories Podcast,R Bloggers Blog Aggregator",< 1 year,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,,,Basic laptop (Macbook),2 - 10 hours,Master's degree,Sort of (Explain more),Master's degree,,Less than a year,Other,University courses,0,65,0,35,0,0,Survival Analysis,"Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",1-2,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Not important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Not important
Female,Germany,26,Employed full-time,,,Yes,,Predictive Modeler,Poorly,Employed by a company that performs advanced analytics,R,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,College/University,Company internal community,Conferences,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring",,Very useful,Somewhat useful,Very useful,Somewhat useful,,Somewhat useful,,,Very useful,Very useful,Very useful,,Very useful,Very useful,,Very useful,,,,,,,,,,,,,,,,,,,,,Yes,Master's degree,Management information systems,1 to 2 years,"Business Analyst,Data Analyst",Self-taught,35,20,40,0,5,0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Support Vector Machines (SVMs)",High school,Technology,"10,000 or more employees",Increased significantly,More than 10 years,I was contacted directly by someone at the company (e.g. internal recruiter),Important,Build prototypes to explore applying machine learning to new areas,Laptop or Workstation and private datacenters,"Text data,Relational data",Sometimes,10MB,"Bayesian Techniques,Decision Trees,Regression/Logistic Regression,SVMs","IBM SPSS Modeler,IBM SPSS Statistics,IBM Watson / Waton Analytics,Jupyter notebooks,Python,RapidMiner (free version),SQL",,,,,,,,,,,Most of the time,Rarely,Sometimes,,,,Most of the time,,,,,,,,,,,,,,Most of the time,,,,Rarely,,,,,,,Sometimes,,,,,,,,,,"Bayesian Techniques,Cross-Validation,Data Visualization,Decision Trees,kNN and Other Clustering,Logistic Regression,Naive Bayes,Natural Language Processing,Neural Networks,Random Forests,SVMs,Text Analytics",,,Sometimes,,,Often,Often,Sometimes,,,,,,Sometimes,,Sometimes,,Sometimes,Sometimes,Sometimes,,,Sometimes,,,,,Sometimes,Sometimes,,,,,65,20,2.5,2.5,10,0,Enough to run the code / standard library,"Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Dirty data,Lack of data science talent in the organization,Privacy issues,The lack of a clear question to be answering or a clear direction to go in with the available data,Unavailability of/difficult access to data",Sometimes,Sometimes,,,Most of the time,,,,Most of the time,,,,,,,,Sometimes,,,Most of the time,Often,,Less than 10% of projects,More internal than external,Standalone Team,,understanding and selecting the right data,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Company Developed Platform,Email,Share Drive/SharePoint",,"Generic cloud file sharing software (Dropbox/Box/etc.),Generic non-cloud file sharing software (Email/Shared Server/etc.)",Sometimes,65000,EUR,Has increased 20% or more,9,,,,,,,,,,,,,,,,,,
Male,India,26,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Amazon Machine Learning,Deep learning,Python,University/Non-profit research group websites,"Non-Kaggle online communities,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,,,,,,,,Very useful,,,Very useful,,Somewhat useful,,,Very useful,Somewhat useful,,< 1 year,Nice to have,Unnecessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,,,,,Basic laptop (Macbook),2 - 10 hours,Kaggle Competitions,No,Master's degree,Computer Science,Less than a year,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",20,80,0,0,0,0,"Reinforcement learning,Unsupervised Learning",,A bachelor's degree,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-5,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important
Male,India,22,Employed full-time,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,India,26,"Not employed, but looking for work",,,,,,,,Python,Time Series Analysis,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Kaggle,,,,,,,Very useful,,,,,,,,,,,,,< 1 year,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,,,Basic laptop (Macbook),2 - 10 hours,Online Courses and Certifications,Sort of (Explain more),Master's degree,"Information technology, networking, or system administration",Less than a year,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",50,50,0,0,0,0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,3-5,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Male,France,33,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,TensorFlow,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,I collect my own data (e.g. web-scraping)","Blogs,Conferences,Friends network,Kaggle,Official documentation,Online courses",,Very useful,,,Somewhat useful,Somewhat useful,Very useful,,,Very useful,Very useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,Mathematics or statistics,Less than a year,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",30,30,0,10,30,0,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",No education,Mix of fields,,,,,Important,Analyze and understand data to influence product or business decisions,"Laptop + Cloud service (AWS, Azure, GCE ...)",Text data,Sometimes,100MB,"Random Forests,Regression/Logistic Regression","MATLAB/Octave,Microsoft Azure Machine Learning,Python,SQL",,,,,,,,,,,,,,,,,,,,,Rarely,Sometimes,,,,,,,,,Most of the time,,,,,,,,,,,Sometimes,,,,,,,,,,"A/B Testing,Collaborative Filtering,Cross-Validation,Data Visualization,Decision Trees,Gradient Boosted Machines,Logistic Regression,Neural Networks,Random Forests,Recommender Systems,SVMs",Often,,,,Sometimes,Most of the time,Most of the time,Often,,,,Often,,,,Most of the time,,,,Often,,,Most of the time,Sometimes,,,,Sometimes,,,,,,20,20,20,20,20,0,"Enough to code it again from scratch, albeit it may run slowly","Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Dirty data,Inability to integrate findings into organization's decision-making process,Lack of funds to buy useful datasets from external sources,Maintaining responsible expectations about the potential impact of data science projects,Privacy issues,The lack of a clear question to be answering or a clear direction to go in with the available data",Most of the time,Often,,,Most of the time,,,Most of the time,,Sometimes,,,,Sometimes,,,Sometimes,,,Often,,,100% of projects,More external than internal,IT Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Commercial Data Platform,Share Drive/SharePoint",,Git,Sometimes,75000,EUR,Has increased 20% or more,8,,,,,,,,,,,,,,,,,,
Male,India,30,"Not employed, but looking for work",,,,,,,,Hadoop/Hive/Pig,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,Somewhat useful,,,,Somewhat useful,Other (Separate different answers with semicolon),< 1 year,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,,"Coursera,edX,Udacity","Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Online Courses and Certifications,Sort of (Explain more),Master's degree,,I don't write code to analyze data,Other,"Online courses (coursera, udemy, edx, etc.)",20,50,20,0,10,0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Logistic Regression,A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",1-2,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
