Male,Other,54,"Not employed, but looking for work",,,,,,,,Python,Link Analysis,C/C++/C#,University/Non-profit research group websites,"Arxiv,Blogs,College/University,Company internal community,Kaggle,Newsletters,Personal Projects",Very useful,Somewhat useful,Somewhat useful,Very useful,,,Somewhat useful,Very useful,,,,Very useful,,,,,,,Data Machina Newsletter,5-10 years,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,,Nice to have,,,Necessary,,,,,Basic laptop (Macbook),0 - 1 hour,Other,Sort of (Explain more),Doctoral degree,Other,More than 10 years,"Data Miner,DBA/Database Engineer,Researcher,Statistician",Work,20,0,50,30,0,0,"Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)","Bayesian Techniques,Evolutionary Approaches,Hidden Markov Models HMMs",A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,6-10,,,,Somewhat important,,,,Very Important,Somewhat important,Somewhat important,,,,,,Somewhat important
Male,Finland,37,Employed full-time,,,Yes,,Software Developer/Software Engineer,Perfectly,Employed by a company that performs advanced analytics,Microsoft Azure Machine Learning,Deep learning,Python,"Google Search,I collect my own data (e.g. web-scraping)","Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,Somewhat useful,,,Very useful,,,,Somewhat useful,,,,,,,,,,,,,,,,,,,,No,Doctoral degree,"Information technology, networking, or system administration",3 to 5 years,Software Developer/Software Engineer,University courses,20,40,20,20,0,0,Computer Vision,"Decision Trees - Random Forests,Ensemble Methods,Hidden Markov Models HMMs,Neural Networks - CNNs,Support Vector Machines (SVMs)",A master's degree,Technology,"10,000 or more employees",Increased slightly,More than 10 years,I visited the company's Web site and found a job listing there,Somewhat important,Build prototypes to explore applying machine learning to new areas,Traditional Workstation,Image data,Rarely,100MB,"HMMs,Random Forests","C/C++,MATLAB/Octave,Python,TensorFlow",,,,Most of the time,,,,,,,,,,,,,,,,,Rarely,,,,,,,,,,Most of the time,,,,,,,,,,,,,,,Sometimes,,,,,,"HMMs,PCA and Dimensionality Reduction,Random Forests,Segmentation,SVMs",,,,,,,,,,,,,Rarely,,,,,,,,Rarely,,Rarely,,,Rarely,,Rarely,,,,,,50,30,15,5,0,0,Enough to run the code / standard library,I prefer not to say,,,,,,,Rarely,,,,,,,,,,,,,,,,Less than 10% of projects,Entirely internal,Standalone Team,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)",Commercial Data Platform,,Git,Rarely,100000,EUR,Has increased 20% or more,6,,,,,,,,,,,,,,,,,,
Male,United States,29,Employed part-time,,,Yes,,Scientist/Researcher,Perfectly,Employed by college or university,I don't plan on learning a new tool/technology,I don't plan on learning a new ML/DS method,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search","Arxiv,Blogs,Kaggle,Official documentation",Very useful,Very useful,,,,,Very useful,,,Somewhat useful,,,,,,,,,Other (Separate different answers with semicolon),,,,,,,,,,,,,,,,,,,Sort of (Explain more),Master's degree,Electrical Engineering,3 to 5 years,I haven't started working yet,Self-taught,20,10,40,10,20,0,"Adversarial Learning,Computer Vision,Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",High school,Academic,I don't know,Increased slightly,Don't know,Some other way,Somewhat important,Build prototypes to explore applying machine learning to new areas,"GPU accelerated Workstation,Laptop or Workstation and private datacenters","Image data,Video data,Text data",Never,100GB,"CNNs,GANs,Gradient Boosted Machines,RNNs,SVMs","Python,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,Sometimes,,,,,,,,,,,,,,,,,,,"CNNs,Cross-Validation,Data Visualization,Decision Trees,Ensemble Methods,GANs,Gradient Boosted Machines,Neural Networks,PCA and Dimensionality Reduction,Random Forests,RNNs,Segmentation,SVMs",,,,Most of the time,,Most of the time,Most of the time,Sometimes,Sometimes,,Sometimes,Sometimes,,,,,,,,Most of the time,Sometimes,,Sometimes,,Sometimes,Often,,Sometimes,,,,,,50,30,0,10,NA,10,Enough to refine and innovate on the algorithm,Dirty data,,,,,Most of the time,,,,,,,,,,,,,,,,,,Less than 10% of projects,Approximately half internal and half external,Other,,,,I don't typically share data,,Git,Always,25000,USD,Other,5,,,,,,,,,,,,,,,,,,
Male,United States,29,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that performs advanced analytics,Java,Genetic & Evolutionary Algorithms,Python,Google Search,"Company internal community,Online courses,Personal Projects,Stack Overflow Q&A",,,,Somewhat useful,,,,,,,Somewhat useful,Somewhat useful,,Somewhat useful,,,,,,,,,,,,,,,,,,,,,,,,No,Master's degree,A social science,3 to 5 years,Business Analyst,"Online courses (coursera, udemy, edx, etc.)",10,80,10,0,0,0,"Survival Analysis,Time Series",Logistic Regression,"Some college/university study, no bachelor's degree",Retail,I don't know,Increased slightly,Don't know,I was contacted directly by someone at the company (e.g. internal recruiter),Somewhat important,Analyze and understand data to influence product or business decisions,Basic laptop (Macbook),Relational data,Sometimes,1TB,Regression/Logistic Regression,"C/C++,Google Cloud Compute,Hadoop/Hive/Pig,Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Python,R,SQL",,,,Rarely,,,,Often,Often,,,,,,,,Often,,,,Rarely,,Often,Rarely,Most of the time,,,,,,Often,,Sometimes,,,,,,,,,Most of the time,,,,,,,,,,"A/B Testing,Data Visualization,Logistic Regression",Often,,,,,,Most of the time,,,,,,,,,Rarely,,,,,,,,,,,,,,,,,,24,14,14,24,24,0,"Enough to code it again from scratch, albeit it may run slowly","Data Science results not used by business decision makers,Did not instrument data useful for scientific analysis and decision-making,Lack of data science talent in the organization,Need to coordinate with IT,The lack of a clear question to be answering or a clear direction to go in with the available data",,Often,Often,,,,,,Often,,,,,,Most of the time,,,,,Often,,,76-99% of projects,Entirely internal,IT Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",I don't typically share data,,"Generic cloud file sharing software (Dropbox/Box/etc.),Generic non-cloud file sharing software (Email/Shared Server/etc.),Other",Rarely,"66,000",USD,Has increased between 6% and 19%,8,,,,,,,,,,,,,,,,,,
Female,United States,24,Employed full-time,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Russia,26,"Not employed, but looking for work",,,,,,,,Python,Regression,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Conferences,Online courses,Podcasts",,,,,Somewhat useful,,,,,,Very useful,,Somewhat useful,,,,,,Becoming a Data Scientist Podcast,< 1 year,Necessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,,,,Coursera,Basic laptop (Macbook),2 - 10 hours,Online Courses and Certifications,Sort of (Explain more),I did not complete any formal education past high school,,Less than a year,I haven't started working yet,"Online courses (coursera, udemy, edx, etc.)",0,80,0,20,0,0,Supervised Machine Learning (Tabular Data),Gradient Boosting,A doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,0,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Not important,Not important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important
Female,Russia,23,"Not employed, but looking for work",,,,,,,,Python,Deep learning,Python,University/Non-profit research group websites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Master's degree,"Information technology, networking, or system administration",I don't write code to analyze data,"Programmer,Researcher",University courses,50,20,0,0,30,0,Computer Vision,Decision Trees - Random Forests,A master's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Czech Republic,34,Employed full-time,,,No,Yes,Other,Fine,Employed by professional services/consulting firm,R,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,I collect my own data (e.g. web-scraping)","Kaggle,Online courses,Podcasts",,,,,,,Very useful,,,,Very useful,,Somewhat useful,,,,,,"Becoming a Data Scientist Podcast,The Data Skeptic Podcast",5-10 years,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,,,,"Coursera,edX",Basic laptop (Macbook),0 - 1 hour,Experience from work in a company related to ML,No,Master's degree,Mathematics or statistics,1 to 2 years,,University courses,30,60,0,10,0,0,Supervised Machine Learning (Tabular Data),Logistic Regression,"Some college/university study, no bachelor's degree",CRM/Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",0,Somewhat important,Very Important,Somewhat important,Not important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important
Male,Canada,38,"Independent contractor, freelancer, or self-employed",,,Yes,,Other,Perfectly,Employed by government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Master's degree,Computer Science,More than 10 years,Other,"Online courses (coursera, udemy, edx, etc.)",25,55,10,10,0,0,"Adversarial Learning,Computer Vision,Natural Language Processing,Outlier detection (e.g. Fraud detection),Reinforcement learning,Time Series,Unsupervised Learning","Bayesian Techniques,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs),Other (please specify; separate by semi-colon)","Some college/university study, no bachelor's degree",Government,,,,,Somewhat important,Build prototypes to explore applying machine learning to new areas,Laptop or Workstation and private datacenters,Other,Never,1GB,"Bayesian Techniques,CNNs,GANs,Gradient Boosted Machines,HMMs,Markov Logic Networks,Neural Networks,Regression/Logistic Regression,RNNs,SVMs","Amazon Machine Learning,Hadoop/Hive/Pig,Java,Julia,MATLAB/Octave,NoSQL,Oracle Data Mining/ Oracle R Enterprise,Python,R,Tableau,TensorFlow,Unix shell / awk",Rarely,,,,,,,,Often,,,,,,Often,Often,,,,,Often,,,,,,Sometimes,Rarely,,,Most of the time,,Often,,,,,,,,,,,,Most of the time,Sometimes,,Most of the time,,,,"A/B Testing,CNNs,Cross-Validation,Data Visualization,Logistic Regression,Markov Logic Networks,Naive Bayes,Neural Networks,Recommender Systems,Text Analytics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,United States,34,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,TensorFlow,Other,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doctoral degree,Electrical Engineering,More than 10 years,"Data Scientist,Engineer,Other",University courses,20,80,0,0,0,0,"Computer Vision,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",High school,Other,"10,000 or more employees",Increased significantly,More than 10 years,"A friend, family member, or former colleague told me",Very important,Build and/or run a machine learning service that operationally improves your product or workflows,"Basic laptop (Macbook),GPU accelerated Workstation,Laptop + Cloud service (AWS, Azure, GCE ...)",Relational data,Most of the time,100GB,"Bayesian Techniques,CNNs,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression","Amazon Web services,Cloudera,Hadoop/Hive/Pig,Impala,Jupyter notebooks,Python,Spark / MLlib,SQL,Stan,TensorFlow,Unix shell / awk",,Most of the time,,,Most of the time,,,,Most of the time,,,,,Most of the time,,,Most of the time,,,,,,,,,,,,,,Most of the time,,,,,,,,,,Often,Most of the time,Rarely,,,Often,,Most of the time,,,,"A/B Testing,Association Rules,Bayesian Techniques,CNNs,Cross-Validation,Data Visualization,Decision Trees,Ensemble Methods,Gradient Boosted Machines,HMMs,kNN and Other Clustering,Lift Analysis,Logistic Regression,Naive Bayes,Neural Networks,PCA and Dimensionality Reduction,Prescriptive Modeling,Random Forests,Simulation,SVMs,Time Series Analysis",Most of the time,Most of the time,Most of the time,Sometimes,,Most of the time,Most of the time,Most of the time,Most of the time,,,Sometimes,Often,Most of the time,Often,Most of the time,,,,Most of the time,Most of the time,Most of the time,Most of the time,,,,Often,Often,,Most of the time,,,,20,50,10,10,10,0,Enough to explain the algorithm to someone non-technical,Inability to integrate findings into organization's decision-making process,,,,,,,,Often,,,,,,,,,,,,,,,100% of projects,Entirely internal,Other,N/a,Scale,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",Commercial Data Platform,,Git,Most of the time,126000,,Has increased 20% or more,10 - Highly Satisfied,,,,,,,,,,,,,,,,,,
Male,India,23,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,TensorFlow,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website,University/Non-profit research group websites","Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Somewhat useful,,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,"Data Machina Newsletter,Linear Digressions Podcast,Talking Machines Podcast",,,,,,,,,,,,,,,,,,,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,"Data Analyst,DBA/Database Engineer,Machine Learning Engineer,Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",30,30,10,10,20,0,"Computer Vision,Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Survival Analysis,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A master's degree,Mix of fields,"10,000 or more employees",Increased slightly,6-10 years,A career fair or on-campus recruiting event,Important,Build and/or run a machine learning service that operationally improves your product or workflows,Basic laptop (Macbook),Text data,Rarely,100MB,"Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,SVMs","Cloudera,Hadoop/Hive/Pig,Jupyter notebooks,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,NoSQL,Python,SAS Base,Spark / MLlib,SQL,Tableau",,,,,Sometimes,,,,Sometimes,,,,,,,,Sometimes,,,,,,Sometimes,,Sometimes,,Sometimes,,,,Often,,,,,,,Often,,,Sometimes,Often,,,Often,,,,,,,"Bayesian Techniques,Cross-Validation,Data Visualization,Decision Trees,Logistic Regression,Naive Bayes,Natural Language Processing,Random Forests,Recommender Systems,SVMs,Text Analytics",,,Sometimes,,,Sometimes,Often,Sometimes,,,,,,,,Sometimes,,Sometimes,Sometimes,,,,Sometimes,Rarely,,,,Sometimes,Often,,,,,20,30,20,20,10,0,Enough to explain the algorithm to someone non-technical,"Did not instrument data useful for scientific analysis and decision-making,Dirty data,Lack of data science talent in the organization,Privacy issues,Team using multiple ad-hoc development environments such as Python/R/Java/etc.",,,Sometimes,,Sometimes,,,,Sometimes,,,,,,,,Sometimes,,Sometimes,,,,10-25% of projects,Approximately half internal and half external,Business Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",Company Developed Platform,,Git,Sometimes,400000,INR,I do not want to share information about my salary/compensation,6,,,,,,,,,,,,,,,,,,
